Year,Stream,Treatment,Day,Replicate,InitialWt,InitialCor,FinalWt,AFDMrem,LN.AFDMrem,AFDM.initial,AFDM.Final,,,,,,,,,,
2019,PA,Handling,0,0,5.1436,,4.9592,,#NUM!,NA,NA,,,,,,,,,,
2019,PA,Handling,0,0,5.0972,,4.9065,,#NUM!,NA,NA,,,,,,,,,,
2019,PA,Handling,0,0,5.0352,,4.8267,,#NUM!,NA,NA,,,,,,,,,,
2019,PA,Handling,0,0,5.1176,,4.9156,,#NUM!,NA,NA,,,,,,,,,,
2019,PB,C,3,1,4.9838,4.784074859,4.0804,85.29130751,4.446072544,2.900889371,2.474206474,,,,,,,,,,
2019,PB,C,3,2,4.8786,4.683090736,3.927,83.8548775,4.429087656,2.937276766,2.463049834,,,,,,,,,,
2019,PB,C,3,5,5.0827,4.879011455,4.0429,82.86309711,4.417189814,3.118969713,2.584474902,,,,,,,,,,
2019,PB,C,3,11,5.0068,4.806153137,3.8352,79.79770703,4.37949477,3.035785862,2.422487508,,,,,,,,,,
2019,PB,C,3,13,5.1242,4.918848348,4.1773,84.92435027,4.441760863,2.981154497,2.531726088,,,,,,,,,,
2019,PB,EC,3,1,5.0575,4.854821341,4.1122,84.70342595,4.439156049,3.039157967,2.574270918,,,,,,,,,,
2019,PB,EC,3,2,4.9918,4.79175426,4.158,86.7740659,4.463307797,2.922755497,2.536193781,,,,,,,,,,
2019,PB,EC,3,5,4.8758,4.680402945,3.9239,83.83679879,4.428872037,2.935358969,2.460910993,,,,,,,,,,
2019,PB,EC,3,11,4.9355,4.737710476,3.8953,82.2190385,4.409386887,3.049609275,2.507359424,,,,,,,,,,
2019,PB,EC,3,13,4.9691,4.76996396,4.1002,85.95872074,4.45386719,3.047236732,2.619365713,,,,,,,,,,
2019,PB,C,7,1,4.8673,4.672243582,3.731,79.85456954,4.3802071,2.968752408,2.370684456,,,,,,,,,,
2019,PB,C,7,2,4.9736,4.774283623,3.8949,81.58082568,4.401594255,2.955502672,2.411123483,,,,,,,,,,
2019,PB,C,7,5,5.0805,4.876899619,3.9241,80.46300531,4.387797517,3.041893724,2.447599109,,,,,,,,,,
2019,PB,C,7,11,5.1008,4.8963861,3.9803,81.29056653,4.398029977,3.091238052,2.512884925,,,,,,,,,,
2019,PB,C,7,13,4.9988,4.798473736,3.8362,79.94625397,4.381354584,2.980233587,2.382585112,,,,,,,,,,
2019,PB,EC,7,1,5.0237,4.822375872,3.911,81.10110252,4.395696556,3.028991043,2.456545131,,,,,,,,,,
2019,PB,EC,7,2,4.8754,4.680018975,3.8532,82.33299951,4.410771993,2.992171948,2.463544915,,,,,,,,,,
2019,PB,EC,7,5,4.9881,4.788202538,3.8008,79.37843001,4.374226669,3.084083762,2.44809727,,,,,,,,,,
2019,PB,EC,7,11,5.049,4.846661978,2.6898,55.49799042,4.016346811,3.033812705,1.683705084,,,,,,,,,,
2019,PB,EC,7,13,5.0092,4.808456958,4.5896,95.44849918,4.558586826,3.01415661,2.876967247,,,,,,,,,,
2019,PB,C,14,1,4.9117,4.714864258,3.511,74.46661893,4.310350957,3.094990409,2.304734714,,,,,,,,,,
2019,PB,C,14,2,5.0131,4.812200666,3.7381,77.67963682,4.352593149,3.171096277,2.463296071,,,,,,,,,,
2019,PB,C,14,5,5.027,4.825543625,3.5308,73.16895824,4.292771263,3.161794709,2.313452251,,,,,,,,,,
2019,PB,C,14,11,4.9763,4.776875421,3.6702,76.83265056,4.341629687,3.240831624,2.490016837,,,,,,,,,,
2019,PB,C,14,13,4.9782,4.778699279,3.7511,78.4962556,4.363050924,3.28929743,2.581975318,,,,,,,,,,
2019,PB,EC,14,1,4.917,4.719951861,3.74,79.23809628,4.372457197,3.584647263,2.84040625,,,,,,,,,,
2019,PB,EC,14,2,4.9705,4.771307855,3.6643,76.79864958,4.341187056,3.094093788,2.376222246,,,,,,,,,,
2019,PB,EC,14,5,4.8676,4.672531559,NA,NA,NA,3.090112332,NA,,,,,,,,,,
2019,PB,EC,14,11,4.9982,4.797897781,3.6041,75.11831565,4.319064413,3.378945666,2.538207071,,,,,,,,,,
2019,PB,EC,14,13,4.958,4.759308791,3.7571,78.94213561,4.368715123,2.972275807,2.346377998,,,,,,,,,,
